0.000000000000000000e+00
7,56E+17
7,24E+17
6,92E+17
6,59E+17
6,26E+17
5,93E+17
5,60E+17
5,27E+17
4,95E+17
4,64E+17
4,33E+17
4,03E+17
3,74E+17
3,46E+17
3,20E+17
2,94E+17
2,70E+17
2,46E+17
2,25E+17
2,04E+17
1,84E+17
1,66E+17
1,49E+17
1,33E+17
1,19E+17
4,35E+13
9,25E+16
8,11E+16
7,07E+16
6,12E+16
5,27E+16
4,50E+16
3,82E+16
3,21E+16
2,67E+16
2,20E+16
1,79E+16
1,44E+16
1,14E+16
8,80E+15
6,67E+15
4,92E+15
3,50E+15
2,39E+15
1,54E+15
9,06E+14
4,69E+14
1,91E+14
